p_underdog,proportion_mu_high_to_admit,frequency_high_mu,frequency_high_sigma,mean_to_std_diff_ratio,game_value,over_q1,over_q2,over_q3,over_q4,under_q1,under_q2,under_q3,under_q4
0.1,9,0.4,0.25,0.1,0.5521824802366523,2,6,0,1,11,0,0,0
0.1,9,0.4,0.25,0.2,0.5672322997802186,2,6,0,1,11,0,0,0
0.1,9,0.4,0.25,0.3,0.583125475480909,2,6,0,1,11,0,0,0
0.1,9,0.4,0.25,0.4,0.5999349403503563,2,6,0,1,11,0,0,0
0.1,9,0.4,0.25,0.5,0.6177422866284259,2,6,0,1,11,0,0,0
0.1,9,0.4,0.25,0.6,0.6215063447673521,2,6,0,1,11,0,0,0
0.1,9,0.4,0.25,0.7,0.6215063447673521,2,6,0,1,11,0,0,0
0.1,9,0.4,0.25,0.8,0.6215063447673521,2,6,0,1,11,0,0,0
0.1,9,0.4,0.25,0.9,0.6215063447673521,2,6,0,1,11,0,0,0
0.1,14,0.4,0.25,0.1,0.5353791346920298,3,9,0,2,9,9,0,0
0.1,14,0.4,0.25,0.2,0.542977666226454,3,9,0,2,12,0,0,5
0.1,14,0.4,0.25,0.3,0.5521811224529741,3,9,0,2,12,0,0,5
0.1,14,0.4,0.25,0.4,0.5617019548468946,3,9,0,2,12,0,0,5
0.1,14,0.4,0.25,0.5,0.571556868252946,3,9,0,2,12,0,0,5
0.1,14,0.4,0.25,0.6,0.5817637607798322,3,9,0,2,12,0,0,5
0.1,14,0.4,0.25,0.7,0.5923418322843985,3,9,0,2,12,0,0,5
0.1,14,0.4,0.25,0.8,0.6033117049102348,3,9,0,2,12,0,0,5
0.1,14,0.4,0.25,0.9,0.6146955572728915,3,9,0,2,12,0,0,5
0.1,19,0.4,0.25,0.1,0.5288257620090591,4,13,1,2,10,18,0,0
0.1,19,0.4,0.25,0.2,0.530485450650695,4,13,1,2,11,16,0,0
0.1,19,0.4,0.25,0.3,0.5356653137633582,4,13,1,2,11,16,0,0
0.1,19,0.4,0.25,0.4,0.5412245497808489,4,13,1,2,11,16,0,0
0.1,19,0.4,0.25,0.5,0.5472064208391748,4,13,1,2,11,16,0,0
0.1,19,0.4,0.25,0.6,0.5581198075283822,4,12,1,2,11,0,12,0
0.1,19,0.4,0.25,0.7,0.5709587435433316,4,12,1,2,11,0,12,0
0.1,19,0.4,0.25,0.8,0.5792226479558902,4,12,1,2,11,0,12,0
0.1,19,0.4,0.25,0.9,0.5877292847035999,4,12,1,2,11,0,12,0
0.1,24,0.4,0.25,0.1,0.526833749058724,7,20,0,0,12,36,0,0
0.1,24,0.4,0.25,0.2,0.5260096940808551,7,20,0,0,12,36,0,0
0.1,24,0.4,0.25,0.3,0.5281837331699407,7,20,0,0,12,36,0,0
0.1,24,0.4,0.25,0.4,0.5277615676813977,7,20,0,0,12,36,0,0
0.1,24,0.4,0.25,0.5,0.5273033378137729,7,20,0,0,12,36,0,0
0.1,24,0.4,0.25,0.6,0.533745992436133,7,18,0,0,12,0,18,0
0.1,24,0.4,0.25,0.7,0.5445067358641649,7,18,0,0,12,0,18,0
0.1,24,0.4,0.25,0.8,0.5509199419309846,7,18,0,0,12,0,18,0
0.1,24,0.4,0.25,0.9,0.5574471704996403,7,18,0,0,12,0,18,0
0.1,28,0.4,0.25,0.1,0.5210281388220692,8,23,0,0,12,35,0,8
0.1,28,0.4,0.25,0.2,0.5206582879541809,8,23,0,0,12,35,0,8
0.1,28,0.4,0.25,0.3,0.5201958013161676,8,23,0,0,12,35,0,8
0.1,28,0.4,0.25,0.4,0.5196901686037978,8,23,0,0,12,35,0,8
0.1,28,0.4,0.25,0.5,0.519725911023878,8,23,0,0,12,28,11,0
0.1,28,0.4,0.25,0.6,0.5232983002497634,8,22,0,0,12,24,12,0
0.1,28,0.4,0.25,0.7,0.5324375092496159,8,22,0,0,12,11,18,0
0.1,28,0.4,0.25,0.8,0.5420116505358056,8,22,0,0,12,11,18,0
0.1,28,0.4,0.25,0.9,0.5502889619646569,8,21,0,0,12,0,18,5
0.1,33,0.4,0.25,0.1,0.5147405292251667,9,27,0,1,12,36,17,0
0.1,33,0.4,0.25,0.2,0.5143643482765611,9,27,0,1,12,36,17,0
0.1,33,0.4,0.25,0.3,0.5139520600304689,9,27,0,1,12,36,17,0
0.1,33,0.4,0.25,0.4,0.5149812556448354,9,27,0,1,12,36,17,0
0.1,33,0.4,0.25,0.5,0.5180816944891037,9,27,0,1,12,36,17,0
0.1,33,0.4,0.25,0.6,0.5209687044791365,9,26,0,1,12,31,18,0
0.1,33,0.4,0.25,0.7,0.5264178646921531,9,26,0,1,12,31,18,0
0.1,33,0.4,0.25,0.8,0.5319287672476831,9,26,0,1,12,31,18,0
0.1,33,0.4,0.25,0.9,0.5405018255262739,9,26,0,1,12,31,18,0
0.1,38,0.4,0.25,0.1,0.5096840398797544,10,30,0,2,12,36,18,8
0.1,38,0.4,0.25,0.2,0.5093771823386835,10,30,0,2,12,36,18,8
0.1,38,0.4,0.25,0.3,0.5102546876531481,10,30,0,2,12,36,18,8
0.1,38,0.4,0.25,0.4,0.5115049218252276,10,30,0,2,12,36,18,8
0.1,38,0.4,0.25,0.5,0.5136432268006061,10,30,0,2,12,36,18,8
0.1,38,0.4,0.25,0.6,0.5160568981798043,10,30,0,2,12,36,18,8
0.1,38,0.4,0.25,0.7,0.5198932483772699,10,30,0,2,12,36,18,8
0.1,38,0.4,0.25,0.8,0.5242300695674454,10,30,0,2,12,36,18,8
0.1,38,0.4,0.25,0.9,0.5331027797419581,10,30,0,2,12,36,18,8
0.1,43,0.4,0.25,0.1,0.5012001485167813,11,33,1,2,11,34,18,19
0.1,43,0.4,0.25,0.2,0.5021759034376009,11,33,1,2,11,34,18,19
0.1,43,0.4,0.25,0.3,0.5022860989627737,11,33,1,2,11,34,18,19
0.1,43,0.4,0.25,0.4,0.5039732896888386,11,33,1,2,11,34,18,19
0.1,43,0.4,0.25,0.5,0.5058125704616128,11,33,1,2,11,34,18,19
0.1,43,0.4,0.25,0.6,0.5066764057504844,11,33,1,2,11,34,18,19
0.1,43,0.4,0.25,0.7,0.5090453233425876,11,33,1,2,11,34,18,19
0.1,43,0.4,0.25,0.8,0.513155449764548,11,33,1,2,11,34,18,19
0.1,43,0.4,0.25,0.9,0.5181805937868033,11,33,1,2,11,34,18,19
0.2,9,0.4,0.25,0.1,0.5475498321873317,2,6,0,1,10,0,0,0
0.2,9,0.4,0.25,0.2,0.5626320240379807,2,6,0,1,10,0,0,0
0.2,9,0.4,0.25,0.3,0.5785686246593711,2,6,0,1,10,0,0,0
0.2,9,0.4,0.25,0.4,0.5954343541100405,2,6,0,1,10,0,0,0
0.2,9,0.4,0.25,0.5,0.6133129066468276,2,6,0,1,10,0,0,0
0.2,9,0.4,0.25,0.6,0.6170935453778854,2,6,0,1,10,0,0,0
0.2,9,0.4,0.25,0.7,0.6170935453778854,2,6,0,1,10,0,0,0
0.2,9,0.4,0.25,0.8,0.6170935453778854,2,6,0,1,10,0,0,0
0.2,9,0.4,0.25,0.9,0.6170935453778854,2,6,0,1,10,0,0,0
0.2,14,0.4,0.25,0.1,0.5275048348266942,4,9,0,2,10,9,0,0
0.2,14,0.4,0.25,0.2,0.5321320916036677,4,9,0,2,12,0,0,5
0.2,14,0.4,0.25,0.3,0.5409685636662646,4,9,0,2,12,0,0,5
0.2,14,0.4,0.25,0.4,0.5501034645159455,4,9,0,2,12,0,0,5
0.2,14,0.4,0.25,0.5,0.5595521718031188,4,9,0,2,12,0,0,5
0.2,14,0.4,0.25,0.6,0.5693311381630368,4,9,0,2,12,0,0,5
0.2,14,0.4,0.25,0.7,0.5794579868210428,4,9,0,2,12,0,0,5
0.2,14,0.4,0.25,0.8,0.5863493272472827,4,9,0,2,12,0,0,5
0.2,14,0.4,0.25,0.9,0.5863493272472827,4,9,0,2,12,0,0,5
0.2,19,0.4,0.25,0.1,0.5221854335504464,5,13,1,2,10,17,0,0
0.2,19,0.4,0.25,0.2,0.5278467862014607,5,13,1,2,12,15,0,0
0.2,19,0.4,0.25,0.3,0.5329544065258525,5,13,1,2,12,15,0,0
0.2,19,0.4,0.25,0.4,0.538427640252844,5,13,1,2,12,15,0,0
0.2,19,0.4,0.25,0.5,0.5443072015607952,5,13,1,2,12,15,0,0
0.2,19,0.4,0.25,0.6,0.5533626094069006,5,12,1,2,12,0,12,0
0.2,19,0.4,0.25,0.7,0.5609330139710904,5,12,1,2,12,0,12,0
0.2,19,0.4,0.25,0.8,0.5687134289559383,5,12,1,2,12,0,12,0
0.2,19,0.4,0.25,0.9,0.5767127161198103,5,12,1,2,12,0,12,0
0.2,24,0.4,0.25,0.1,0.5204777644286691,8,22,0,0,12,35,0,0
0.2,24,0.4,0.25,0.2,0.5201480074803777,8,22,0,0,12,35,0,0
0.2,24,0.4,0.25,0.3,0.5209354284027348,8,22,0,0,12,35,0,0
0.2,24,0.4,0.25,0.4,0.5205744164112782,8,22,0,0,12,35,0,0
0.2,24,0.4,0.25,0.5,0.520258900374992,8,22,0,0,12,35,0,0
0.2,24,0.4,0.25,0.6,0.5281992022359858,8,18,0,0,12,0,18,0
0.2,24,0.4,0.25,0.7,0.534748796521888,8,18,0,0,12,0,18,0
0.2,24,0.4,0.25,0.8,0.5408963237091162,8,18,0,0,12,0,18,0
0.2,24,0.4,0.25,0.9,0.5464545492789809,8,18,0,0,12,0,18,0
0.2,28,0.4,0.25,0.1,0.5152398056989084,9,26,0,0,12,36,0,8
0.2,28,0.4,0.25,0.2,0.5149031948754794,9,26,0,0,12,36,0,8
0.2,28,0.4,0.25,0.3,0.5145362975365653,9,26,0,0,12,36,0,8
0.2,28,0.4,0.25,0.4,0.5141348335939796,9,26,0,0,12,36,0,8
0.2,28,0.4,0.25,0.5,0.5145277025546034,9,25,0,0,12,28,11,0
0.2,28,0.4,0.25,0.6,0.5160236206727065,9,24,0,0,12,24,12,0
0.2,28,0.4,0.25,0.7,0.5258190121008629,9,22,0,0,12,10,18,0
0.2,28,0.4,0.25,0.8,0.5341994896142657,9,22,0,0,12,10,18,0
0.2,28,0.4,0.25,0.9,0.5396832296915216,9,21,0,0,12,0,18,5
0.2,33,0.4,0.25,0.1,0.5092056314615047,10,30,0,1,12,36,17,0
0.2,33,0.4,0.25,0.2,0.5089686306161316,10,30,0,1,12,36,17,0
0.2,33,0.4,0.25,0.3,0.5087087368852271,10,30,0,1,12,36,17,0
0.2,33,0.4,0.25,0.4,0.5098718495721032,10,30,0,1,12,36,17,0
0.2,33,0.4,0.25,0.5,0.512117092393402,10,30,0,1,12,36,17,0
0.2,33,0.4,0.25,0.6,0.5149553528758938,10,29,0,1,12,31,18,0
0.2,33,0.4,0.25,0.7,0.5200247977717486,10,29,0,1,12,31,18,0
0.2,33,0.4,0.25,0.8,0.524097418639925,10,29,0,1,12,31,18,0
0.2,33,0.4,0.25,0.9,0.532351135478523,10,29,0,1,12,31,18,0
0.2,38,0.4,0.25,0.1,0.5020295426027868,11,34,0,2,11,36,18,8
0.2,38,0.4,0.25,0.2,0.5018908532831039,11,34,0,2,11,36,18,8
0.2,38,0.4,0.25,0.3,0.5028156065206084,11,34,0,2,11,36,18,8
0.2,38,0.4,0.25,0.4,0.5029312550008824,11,34,0,2,11,36,18,8
0.2,38,0.4,0.25,0.5,0.5051599781485886,11,34,0,2,11,36,18,8
0.2,38,0.4,0.25,0.6,0.5073713294768336,11,34,0,2,11,36,18,8
0.2,38,0.4,0.25,0.7,0.5089434100014781,11,34,0,2,11,36,18,8
0.2,38,0.4,0.25,0.8,0.5132701518481834,11,34,0,2,11,36,18,8
0.2,38,0.4,0.25,0.9,0.5184762267688289,11,34,0,2,11,36,18,8
0.2,43,0.4,0.25,0.1,0.496142307000828,12,36,1,2,10,35,18,18
0.2,43,0.4,0.25,0.2,0.49667069877563175,12,36,1,2,10,35,18,18
0.2,43,0.4,0.25,0.3,0.4966275960047157,12,36,1,2,10,35,18,18
0.2,43,0.4,0.25,0.4,0.49711823936220767,12,36,1,2,10,35,18,18
0.2,43,0.4,0.25,0.5,0.4986186169301402,12,36,1,2,10,35,18,18
0.2,43,0.4,0.25,0.6,0.498651712209559,12,36,1,2,10,35,18,18
0.2,43,0.4,0.25,0.7,0.4994598157730838,12,36,1,2,10,35,18,18
0.2,43,0.4,0.25,0.8,0.5020042147341214,12,36,1,2,10,35,18,18
0.2,43,0.4,0.25,0.9,0.5048000238651659,12,36,1,2,10,35,18,18
0.3,9,0.4,0.25,0.1,0.5521824802366523,3,6,0,1,11,0,0,0
0.3,9,0.4,0.25,0.2,0.5672322997802186,3,6,0,1,11,0,0,0
0.3,9,0.4,0.25,0.3,0.5821971443403605,3,6,0,1,11,0,0,0
0.3,9,0.4,0.25,0.4,0.5821971443403605,3,6,0,1,11,0,0,0
0.3,9,0.4,0.25,0.5,0.5821971443403605,3,6,0,1,11,0,0,0
0.3,9,0.4,0.25,0.6,0.5821971443403605,3,6,0,1,11,0,0,0
0.3,9,0.4,0.25,0.7,0.5821971443403605,3,6,0,1,11,0,0,0
0.3,9,0.4,0.25,0.8,0.5821971443403605,3,6,0,1,11,0,0,0
0.3,9,0.4,0.25,0.9,0.5821971443403605,3,6,0,1,11,0,0,0
0.3,14,0.4,0.25,0.1,0.5222808187174465,4,10,0,2,9,9,0,0
0.3,14,0.4,0.25,0.2,0.5321320916036677,4,9,0,2,12,0,0,5
0.3,14,0.4,0.25,0.3,0.5409685636662646,4,9,0,2,12,0,0,5
0.3,14,0.4,0.25,0.4,0.5501034645159455,4,9,0,2,12,0,0,5
0.3,14,0.4,0.25,0.5,0.5595521718031188,4,9,0,2,12,0,0,5
0.3,14,0.4,0.25,0.6,0.5693311381630368,4,9,0,2,12,0,0,5
0.3,14,0.4,0.25,0.7,0.5794579868210428,4,9,0,2,12,0,0,5
0.3,14,0.4,0.25,0.8,0.5863493272472827,4,9,0,2,12,0,0,5
0.3,14,0.4,0.25,0.9,0.5863493272472827,4,9,0,2,12,0,0,5
0.3,19,0.4,0.25,0.1,0.5155393051645312,6,14,1,2,11,16,0,0
0.3,19,0.4,0.25,0.2,0.5213630083817143,6,14,1,2,12,15,0,0
0.3,19,0.4,0.25,0.3,0.5264927585315117,6,14,1,2,12,15,0,0
0.3,19,0.4,0.25,0.4,0.5319915424031448,6,14,1,2,12,15,0,0
0.3,19,0.4,0.25,0.5,0.5338887791856917,6,14,1,2,12,15,0,0
0.3,19,0.4,0.25,0.6,0.5416437355372854,6,12,1,2,12,0,11,0
0.3,19,0.4,0.25,0.7,0.5488947890354666,6,12,1,2,12,0,11,0
0.3,19,0.4,0.25,0.8,0.556342618345146,6,12,1,2,12,0,11,0
0.3,19,0.4,0.25,0.9,0.5598444739647144,6,12,1,2,12,0,11,0
0.3,24,0.4,0.25,0.1,0.5143073498964392,9,25,0,0,12,35,0,0
0.3,24,0.4,0.25,0.2,0.5142018641040813,9,25,0,0,12,35,0,0
0.3,24,0.4,0.25,0.3,0.5145762750598191,9,25,0,0,12,35,0,0
0.3,24,0.4,0.25,0.4,0.5143210058012472,9,25,0,0,12,35,0,0
0.3,24,0.4,0.25,0.5,0.5141201934369092,9,25,0,0,12,35,0,0
0.3,24,0.4,0.25,0.6,0.5210205470747752,9,18,0,0,12,0,18,0
0.3,24,0.4,0.25,0.7,0.5268547613063319,9,18,0,0,12,0,18,0
0.3,24,0.4,0.25,0.8,0.5328211143526428,9,18,0,0,12,0,18,0
0.3,24,0.4,0.25,0.9,0.5341009861924125,9,18,0,0,12,0,18,0
0.3,28,0.4,0.25,0.1,0.5088187898800586,10,30,0,0,12,36,0,8
0.3,28,0.4,0.25,0.2,0.5086616784008527,10,30,0,0,12,36,0,8
0.3,28,0.4,0.25,0.3,0.5084840140278981,10,30,0,0,12,36,0,8
0.3,28,0.4,0.25,0.4,0.5082894632483623,10,30,0,0,12,36,0,8
0.3,28,0.4,0.25,0.5,0.508659140137098,10,28,0,0,12,29,11,0
0.3,28,0.4,0.25,0.6,0.5097211839893998,10,26,0,0,12,23,12,0
0.3,28,0.4,0.25,0.7,0.5199308202030586,10,23,0,0,12,9,18,0
0.3,28,0.4,0.25,0.8,0.5256568849947755,10,23,0,0,12,9,18,0
0.3,28,0.4,0.25,0.9,0.5310800140759028,10,21,0,0,12,0,18,5
0.3,33,0.4,0.25,0.1,0.5009041794296738,11,34,0,1,11,35,17,0
0.3,33,0.4,0.25,0.2,0.5008410853629175,11,34,0,1,11,35,17,0
0.3,33,0.4,0.25,0.3,0.5007718378119633,11,34,0,1,11,35,17,0
0.3,33,0.4,0.25,0.4,0.5017726392213026,11,34,0,1,11,35,17,0
0.3,33,0.4,0.25,0.5,0.5029871043180623,11,34,0,1,11,35,17,0
0.3,33,0.4,0.25,0.6,0.5064408432993447,11,32,0,1,11,31,18,0
0.3,33,0.4,0.25,0.7,0.508176662566182,11,31,0,1,11,28,18,0
0.3,33,0.4,0.25,0.8,0.5121679481058385,11,31,0,1,11,28,18,0
0.3,33,0.4,0.25,0.9,0.5181477207122865,11,31,0,1,11,28,18,0
0.3,38,0.4,0.25,0.1,0.4975793368768228,12,36,0,2,11,35,18,6
0.3,38,0.4,0.25,0.2,0.4975771570735668,12,36,0,2,11,35,18,6
0.3,38,0.4,0.25,0.3,0.4982071970528702,12,36,0,2,11,35,18,6
0.3,38,0.4,0.25,0.4,0.4985709852160934,12,36,0,2,11,35,18,6
0.3,38,0.4,0.25,0.5,0.5008769133963716,12,36,0,2,11,35,18,6
0.3,38,0.4,0.25,0.6,0.5019950856252533,12,36,0,2,11,35,18,6
0.3,38,0.4,0.25,0.7,0.5036685431507636,12,36,0,2,11,35,18,6
0.3,38,0.4,0.25,0.8,0.5066225871583591,12,36,0,2,11,35,18,6
0.3,38,0.4,0.25,0.9,0.5115604365347364,12,36,0,2,11,35,18,6
0.3,43,0.4,0.25,0.1,0.4976013383613657,12,36,3,5,11,35,17,15
0.3,43,0.4,0.25,0.2,0.4981947486215177,12,36,3,5,11,35,18,14
0.3,43,0.4,0.25,0.3,0.49822042753515344,12,36,3,5,11,35,18,14
0.3,43,0.4,0.25,0.4,0.4999117515655812,12,36,3,5,11,35,18,14
0.3,43,0.4,0.25,0.5,0.501528955641263,12,36,3,5,11,35,18,14
0.3,43,0.4,0.25,0.6,0.5017604416330516,12,36,3,5,11,35,18,14
0.3,43,0.4,0.25,0.7,0.5041382265874246,12,36,3,5,11,35,18,14
0.3,43,0.4,0.25,0.8,0.506819976154076,12,36,3,5,11,35,18,14
0.3,43,0.4,0.25,0.9,0.5116312502825066,12,36,3,5,11,35,18,14
0.4,9,0.4,0.25,0.1,0.5521824802366523,3,6,0,1,11,0,0,0
0.4,9,0.4,0.25,0.2,0.5672322997802186,3,6,0,1,11,0,0,0
0.4,9,0.4,0.25,0.3,0.5821971443403605,3,6,0,1,11,0,0,0
0.4,9,0.4,0.25,0.4,0.5821971443403605,3,6,0,1,11,0,0,0
0.4,9,0.4,0.25,0.5,0.5821971443403605,3,6,0,1,11,0,0,0
0.4,9,0.4,0.25,0.6,0.5821971443403605,3,6,0,1,11,0,0,0
0.4,9,0.4,0.25,0.7,0.5821971443403605,3,6,0,1,11,0,0,0
0.4,9,0.4,0.25,0.8,0.5821971443403605,3,6,0,1,11,0,0,0
0.4,9,0.4,0.25,0.9,0.5821971443403605,3,6,0,1,11,0,0,0
0.4,14,0.4,0.25,0.1,0.5161607488910329,5,9,0,2,12,0,0,4
0.4,14,0.4,0.25,0.2,0.5244706060439536,5,9,0,2,12,0,0,5
0.4,14,0.4,0.25,0.3,0.5330524080807973,5,9,0,2,12,0,0,5
0.4,14,0.4,0.25,0.4,0.5419197263980003,5,9,0,2,12,0,0,5
0.4,14,0.4,0.25,0.5,0.5510870507080259,5,9,0,2,12,0,0,5
0.4,14,0.4,0.25,0.6,0.5605698680488694,5,9,0,2,12,0,0,5
0.4,14,0.4,0.25,0.7,0.5638450918570584,5,9,0,2,12,0,0,5
0.4,14,0.4,0.25,0.8,0.5638450918570584,5,9,0,2,12,0,0,5
0.4,14,0.4,0.25,0.9,0.5638450918570584,5,9,0,2,12,0,0,5
0.4,19,0.4,0.25,0.1,0.5114961133665011,6,15,1,2,10,16,0,0
0.4,19,0.4,0.25,0.2,0.517177723550638,7,14,1,2,12,14,0,0
0.4,19,0.4,0.25,0.3,0.522255463916064,7,14,1,2,12,14,0,0
0.4,19,0.4,0.25,0.4,0.5241666666142071,7,14,1,2,12,14,0,0
0.4,19,0.4,0.25,0.5,0.5248132710512411,7,14,1,2,12,14,0,0
0.4,19,0.4,0.25,0.6,0.5328996032937903,7,12,1,2,12,0,11,0
0.4,19,0.4,0.25,0.7,0.5399169123706566,7,12,1,2,12,0,11,0
0.4,19,0.4,0.25,0.8,0.54367210326937,7,12,1,2,12,0,11,0
0.4,19,0.4,0.25,0.9,0.54367210326937,7,12,1,2,12,0,11,0
0.4,24,0.4,0.25,0.1,0.5080973124837863,10,29,0,0,12,35,0,0
0.4,24,0.4,0.25,0.2,0.5082464690743175,10,29,0,0,12,35,0,0
